"Notes"	"Occurrence County"	"Occurrence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Amelia County, VA"	"51007"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2021"	"2021"	10	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Amherst County, VA"	"51009"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Appomattox County, VA"	"51011"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2018"	"2018"	23	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2019"	"2019"	22	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2020"	"2020"	34	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2021"	"2021"	33	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2022 (provisional)"	"2022"	26	Not Applicable	Not Applicable
	"Arlington County, VA"	"51013"	"2023 (provisional and partial)"	"2023"	10	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2019"	"2019"	12	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2020"	"2020"	10	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2021"	"2021"	12	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Augusta County, VA"	"51015"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2020"	"2020"	0	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2021"	"2021"	0	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2022 (provisional)"	"2022"	0	Not Applicable	Not Applicable
	"Bath County, VA"	"51017"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2020"	"2020"	17	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2021"	"2021"	19	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2022 (provisional)"	"2022"	23	Not Applicable	Not Applicable
	"Bedford County, VA"	"51019"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Bland County, VA"	"51021"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Botetourt County, VA"	"51023"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2021"	"2021"	11	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2022 (provisional)"	"2022"	10	Not Applicable	Not Applicable
	"Brunswick County, VA"	"51025"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2022 (provisional)"	"2022"	18	Not Applicable	Not Applicable
	"Buchanan County, VA"	"51027"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2022 (provisional)"	"2022"	10	Not Applicable	Not Applicable
	"Buckingham County, VA"	"51029"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Campbell County, VA"	"51031"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2020"	"2020"	10	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2021"	"2021"	21	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, VA"	"51033"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, VA"	"51035"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2020"	"2020"	0	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2021"	"2021"	0	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Charles City County, VA"	"51036"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, VA"	"51037"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2018"	"2018"	73	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2019"	"2019"	60	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2020"	"2020"	86	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2021"	"2021"	103	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2022 (provisional)"	"2022"	64	Not Applicable	Not Applicable
	"Chesterfield County, VA"	"51041"	"2023 (provisional and partial)"	"2023"	28	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, VA"	"51043"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2020"	"2020"	0	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2021"	"2021"	0	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Craig County, VA"	"51045"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2018"	"2018"	15	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2020"	"2020"	11	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2021"	"2021"	22	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2022 (provisional)"	"2022"	18	Not Applicable	Not Applicable
	"Culpeper County, VA"	"51047"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Cumberland County, VA"	"51049"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2022 (provisional)"	"2022"	15	Not Applicable	Not Applicable
	"Dickenson County, VA"	"51051"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Dinwiddie County, VA"	"51053"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Essex County, VA"	"51057"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2018"	"2018"	100	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2019"	"2019"	105	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2020"	"2020"	112	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2021"	"2021"	133	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2022 (provisional)"	"2022"	114	Not Applicable	Not Applicable
	"Fairfax County, VA"	"51059"	"2023 (provisional and partial)"	"2023"	49	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2018"	"2018"	19	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2019"	"2019"	14	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2020"	"2020"	10	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2021"	"2021"	16	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2022 (provisional)"	"2022"	15	Not Applicable	Not Applicable
	"Fauquier County, VA"	"51061"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Floyd County, VA"	"51063"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Fluvanna County, VA"	"51065"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2018"	"2018"	14	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2020"	"2020"	15	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2021"	"2021"	17	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2022 (provisional)"	"2022"	16	Not Applicable	Not Applicable
	"Franklin County, VA"	"51067"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2020"	"2020"	16	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2021"	"2021"	15	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2022 (provisional)"	"2022"	11	Not Applicable	Not Applicable
	"Frederick County, VA"	"51069"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Giles County, VA"	"51071"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2021"	"2021"	12	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2022 (provisional)"	"2022"	15	Not Applicable	Not Applicable
	"Gloucester County, VA"	"51073"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Goochland County, VA"	"51075"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2022 (provisional)"	"2022"	0	Not Applicable	Not Applicable
	"Grayson County, VA"	"51077"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Greene County, VA"	"51079"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Greensville County, VA"	"51081"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2021"	"2021"	16	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2022 (provisional)"	"2022"	15	Not Applicable	Not Applicable
	"Halifax County, VA"	"51083"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2018"	"2018"	23	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2019"	"2019"	23	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2020"	"2020"	40	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2021"	"2021"	40	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2022 (provisional)"	"2022"	24	Not Applicable	Not Applicable
	"Hanover County, VA"	"51085"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2018"	"2018"	58	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2019"	"2019"	72	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2020"	"2020"	79	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2021"	"2021"	132	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2022 (provisional)"	"2022"	125	Not Applicable	Not Applicable
	"Henrico County, VA"	"51087"	"2023 (provisional and partial)"	"2023"	40	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2019"	"2019"	14	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2020"	"2020"	31	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2021"	"2021"	37	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2022 (provisional)"	"2022"	31	Not Applicable	Not Applicable
	"Henry County, VA"	"51089"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2020"	"2020"	0	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2021"	"2021"	0	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2022 (provisional)"	"2022"	0	Not Applicable	Not Applicable
	"Highland County, VA"	"51091"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2022 (provisional)"	"2022"	10	Not Applicable	Not Applicable
	"Isle of Wight County, VA"	"51093"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2020"	"2020"	16	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"James City County, VA"	"51095"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"King and Queen County, VA"	"51097"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"King and Queen County, VA"	"51097"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"King and Queen County, VA"	"51097"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"King and Queen County, VA"	"51097"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"King and Queen County, VA"	"51097"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
